employee_id,date,tasks_completed,work_hours,performance_rating
1,2023-01-01,12,7.8,3.9
1,2023-01-02,11,7.5,4.3
1,2023-01-03,7,8.2,3.0
1,2023-01-04,9,7.0,4.2
1,2023-01-05,8,9.5,3.9
1,2023-01-06,7,7.5,4.1
1,2023-01-07,11,7.4,3.9
1,2023-01-08,12,8.0,3.5
1,2023-01-09,7,8.2,3.0
1,2023-01-10,10,8.7,4.1
1,2023-01-11,5,7.9,3.8
1,2023-01-12,9,7.5,4.5
1,2023-01-13,8,8.3,3.8
1,2023-01-14,13,9.0,4.5
1,2023-01-15,13,7.2,3.8
1,2023-01-16,14,7.5,3.9
1,2023-01-17,8,8.8,4.7
1,2023-01-18,15,8.4,3.7
1,2023-01-19,13,8.0,4.8
1,2023-01-20,10,8.1,3.9
1,2023-01-21,8,7.8,4.2
1,2023-01-22,9,7.2,3.7
1,2023-01-23,13,8.1,4.5
1,2023-01-24,8,7.6,3.3
1,2023-01-25,9,7.7,3.6
1,2023-01-26,16,9.9,4.1
1,2023-01-27,18,6.1,4.0
1,2023-01-28,8,8.1,5.0
1,2023-01-29,3,7.8,4.2
1,2023-01-30,6,9.1,4.4
1,2023-01-31,7,9.4,3.3
1,2023-02-01,11,7.0,3.7
1,2023-02-02,12,6.4,4.0
1,2023-02-03,11,7.1,4.8
1,2023-02-04,16,7.2,3.8
1,2023-02-05,7,8.2,4.7
1,2023-02-06,10,8.3,4.4
1,2023-02-07,8,8.5,4.1
1,2023-02-08,11,8.3,3.6
1,2023-02-09,10,6.8,4.3
1,2023-02-10,12,9.2,3.6
1,2023-02-11,11,8.8,4.9
1,2023-02-12,5,7.1,3.6
1,2023-02-13,13,7.7,5.0
1,2023-02-14,7,6.9,4.2
1,2023-02-15,15,8.5,4.0
1,2023-02-16,8,7.6,4.4
1,2023-02-17,6,8.2,4.2
1,2023-02-18,11,8.1,3.4
1,2023-02-19,14,9.1,4.5
1,2023-02-20,9,8.5,4.3
1,2023-02-21,10,8.6,4.6
1,2023-02-22,15,7.2,3.9
1,2023-02-23,11,10.3,3.1
1,2023-02-24,8,7.5,4.5
1,2023-02-25,6,7.3,4.3
1,2023-02-26,11,8.0,3.7
1,2023-02-27,10,6.0,4.1
1,2023-02-28,13,7.2,3.9
1,2023-03-01,9,7.5,3.7
2,2023-01-01,10,6.7,4.5
2,2023-01-02,17,10.1,4.5
2,2023-01-03,9,9.3,3.6
2,2023-01-04,3,8.4,4.4
2,2023-01-05,10,4.8,3.5
2,2023-01-06,6,9.6,3.3
2,2023-01-07,11,9.4,3.3
2,2023-01-08,10,7.0,4.2
2,2023-01-09,16,9.6,3.4
2,2023-01-10,10,7.8,4.3
2,2023-01-11,7,8.3,3.7
2,2023-01-12,4,7.4,4.4
2,2023-01-13,8,8.7,4.3
2,2023-01-14,9,8.5,3.9
